Accession	TDL	Gene Symbol01	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	P value 2h	P value 6h	P value 10h	P value 24h	Ratio 2h	Ratio 6h	Ratio 10h 	Ratio 24h	Count	Selected	Quantity_Change	Source
Q9Y3U8	Tbio	RPL36	0.661133759	0.014525332	-0.13109914	2.887023806	0.770702263	0.989288364	0.894993425	0.004472535	1	1	0	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P54577	Tchem	YARS	0.526045467	0.751285319	-1.1154472	2.747178711	0.698846857	0.410945948	0.053992591	0.001606102	1	1	0	1	3	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q969G3	Tbio	SMARCE1	-0.031726516	-0.042399743	0.139610874	0.914110365	0.338225688	0.765155652	0.731176153	0.010107532	0	0	1	1	2	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P45877	Tbio	PPIC	-0.104782576	-0.14048665	0.456925966	1.458359926	0.703802313	0.663737606	0.412814815	0.001600907	0	0	1	1	2	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q9UHG3	Tbio	PCYOX1	-0.182728427	-0.502303047	0.298002864	0.435188039	0.79300191	0.346484918	0.722339046	0.000362379	0	0	1	1	2	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q03701	Tbio	CEBPZ	-0.066434115	-1.109354083	0.333910683	6.321135573	0.955866186	0.568385021	0.700041058	7.34E-05	0	0	1	1	2	x	up	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P02771	Tbio	AFP	-0.236187606	-0.327616164	-0.13669399	-4.489913145	0.490451053	0.061288508	0.599956123	0.000179858	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P07148	Tchem	FABP1	-0.1770607	-0.347503935	-0.140952832	-3.286986091	0.037763438	0.058714381	0.792981565	0.000182299	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P09327	Tbio	VIL1	-0.150779473	-0.279990645	-0.64548642	-3.444579005	0.3984407	0.052874209	0.016658359	0.000164669	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P09525	Tbio	ANXA4	-0.019478378	-0.167319493	-0.238208351	-2.482451767	0.679800915	0.077537987	0.106842409	0.000158214	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
Q12864	Tbio	CDH17	-0.115542099	-0.177734368	-0.466838458	-3.237389677	0.331675949	0.196289162	0.030436789	0.000115221	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P17931	Tchem	LGALS3	-0.106529546	-0.067741633	-0.358539212	-1.420381496	0.192016082	0.479648457	0.00300097	4.31E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P01009	Tbio	SERPINA1	-0.112696598	-0.224237876	-0.429786641	-3.669424635	0.56492088	0.157059924	0.031447006	0.000540247	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O75874	Tchem	IDH1	-0.330261416	-0.440110789	-0.364232354	-2.353325548	0.132484891	0.08806973	0.265161299	0.000378108	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P02766	Tclin	TTR	-0.366625105	-0.337060175	-0.666960102	-5.03327167	0.103182135	0.084406581	0.104426122	1.58E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P14923	Tbio	JUP	-0.009518577	-0.29970263	-0.519829576	-2.404967976	0.89798814	0.000453491	0.006324797	0.000360211	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
O14745	Tbio	SLC9A3R1	-0.177936666	-0.169452644	-0.669426962	-2.945227435	0.621924088	0.565810542	0.084588401	0.000861483	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
P00352	Tchem	ALDH1A1	-0.200443951	-0.420235481	-0.731650858	-4.026569621	0.28934478	0.013407335	0.028325064	1.84E-05	1	1	1	1	4	x	down	https://doi.org/10.1038/s41586-020-2332-7 | https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx
