uniprot
A1A5B4
A3KN83
A6NDG6
A6NI73
A7MCY6
A8K4G0
B6A8C7
B8ZZ77
F8WE12
H0Y4K8
H0Y6T8
H0Y8J7
H0YCD9
O00116
O00124
O00203
O00219
O00337
O00469
O00566
O00567
O00762
O14578
O14656
O14686
O14745
O14874
O14880
O14893
O14975
O15205
O15371
O15550
O43169
O43242
O43291
O43292
O43542
O43583
O43633
O43676
O43818
O43823
O60264
O60486
O60573
O60701
O60885
O75312
O75347
O75348
O75439
O75506
O75592
O75694
O75874
O75925
O75928
O75964
O76024
O76061
O76094
O94826
O94888
O94973
O95070
O95256
O95260
O95361
O95379
O95391
O95573
O95613
O96019
P00352
P00374
P00747
P00813
P01040
P01106
P01112
P01133
P01137
P01308
P01730
P01732
P02649
P02766
P02771
P02786
P04040
P04080
P04181
P04406
P05026
P05091
P05161
P05164
P05165
P05198
P05388
P05412
P05455
P06280
P06493
P06870
P07148
P07203
P07305
P07711
P07900
P08172
P08708
P08865
P09132
P09211
P09327
P09429
P09525
P09601
P09651
P09884
P0C7P0
P0DMS9
P0DMV8
P10412
P10619
P10644
P11021
P11142
P11166
P11233
P11310
P11940
P12004
P12109
P12268
P12270
P12830
P13073
P13639
P13667
P13804
P13861
P13984
P14415
P14635
P14678
P14735
P14923
P15151
P15311
P15622
P15880
P16083
P16152
P16403
P16435
P17612
P17931
P17948
P18074
P18077
P18124
P19075
P19320
P19447
P19784
P21912
P21964
P22087
P23634
P24385
P24928
P25100
P26038
P26358
P27105
P27348
P27487
P27635
P27816
P27824
P28300
P28370
P30050
P30542
P31323
P31749
P31946
P31997
P32320
P34932
P35222
P35241
P35268
P35555
P35556
P35658
P36578
P36888
P36896
P37198
P38117
P38398
P38435
P38606
P38646
P38919
P38936
P39019
P40429
P40763
P41214
P41231
P41252
P42285
P42701
P42766
P43630
P45877
P46777
P46778
P46781
P46782
P46783
P46926
P46977
P47914
P48556
P49207
P49454
P49642
P49643
P49773
P50613
P50897
P51148
P51149
P51164
P51532
P51575
P51582
P51946
P51948
P52298
P54198
P54577
P54725
P54727
P55061
P55072
P55085
P55263
P55789
P55884
P56373
P58166
P60866
P60903
P61006
P61009
P61011
P61019
P61026
P61106
P61221
P61247
P61254
P61289
P61313
P61353
P61457
P61513
P61586
P61604
P61769
P61916
P61956
P61962
P61970
P61981
P62072
P62081
P62241
P62249
P62258
P62269
P62273
P62280
P62304
P62306
P62308
P62314
P62316
P62318
P62330
P62424
P62701
P62750
P62753
P62820
P62829
P62847
P62851
P62857
P62873
P62888
P62891
P62899
P62906
P62913
P62993
P63165
P63173
P63218
P63220
P63244
P63279
P63302
P67870
P68104
P78406
P82663
P82675
P83731
P83881
P84022
P84243
Q00765
Q01638
Q02878
Q02952
Q03701
Q04724
Q04726
Q06481
Q07020
Q07955
Q08117
Q08378
Q08379
Q08431
Q08ET2
Q09028
Q09161
Q09472
Q10713
Q12770
Q12824
Q12830
Q12864
Q12907
Q13090
Q13114
Q13206
Q13283
Q13310
Q13349
Q13423
Q13438
Q13443
Q13478
Q13485
Q13501
Q13546
Q13617
Q13627
Q13724
Q13761
Q13868
Q13888
Q13889
Q14011
Q14152
Q14157
Q14181
Q14542
Q14626
Q14641
Q14669
Q14773
Q14789
Q14974
Q15056
Q15233
Q15459
Q15543
Q15646
Q15661
Q15785
Q15818
Q15828
Q15843
Q15904
Q15911
Q16280
Q16539
Q16630
Q2M389
Q2PZI1
Q2T9J0
Q2TAA5
Q32M45
Q3KQU3
Q3SXY7
Q496F6
Q49A17
Q4G0I0
Q4G0J3
Q4KMQ2
Q53XW0
Q5BJF2
Q5EBL8
Q5JSZ5
Q5JTV8
Q5SQ91
Q5SRP9
Q5STB4
Q5T1M5
Q5T6F2
Q5TDQ0
Q5TEC6
Q5VT06
Q5VUA4
Q658Y7
Q66GS9
Q68D10
Q68D85
Q6IBQ6
Q6IS00
Q6IS24
Q6NUK4
Q6NUR9
Q6NXT4
Q6NXT6
Q6NYC1
Q6P5R6
Q6P9A2
Q6PCB7
Q6PI73
Q6PK88
Q6PKG0
Q6PML9
Q6UUV7
Q6UWV2
Q6UX04
Q6UX27
Q6UXG3
Q6UXL0
Q6UXZ4
Q6Y7W6
Q6ZN21
Q6ZN44
Q6ZRP7
Q6ZSY5
Q70EL1
Q70HW3
Q75V66
Q76N32
Q7KZI7
Q7L2J0
Q7L5Z7
Q7L8L6
Q7LGA3
Q7Z2K6
Q7Z3B4
Q7Z3S7
Q7Z4N8
Q7Z4Q2
Q7Z4T8
Q7Z553
Q7Z5G4
Q7Z6A9
Q7Z6V5
Q7Z7M9
Q86SE5
Q86U19
Q86U70
Q86UT6
Q86VM9
Q86VR2
Q86XP3
Q86YB8
Q86YS6
Q86YT6
Q86YT9
Q86YW5
Q8IU57
Q8IUC8
Q8IUQ4
Q8IV08
Q8IV77
Q8IWF2
Q8IWJ2
Q8IWR0
Q8IWR1
Q8IWS0
Q8IWT1
Q8IYS5
Q8IZ52
Q8IZP9
Q8IZT8
Q8J016
Q8N0X7
Q8N0Z8
Q8N183
Q8N3C7
Q8N3Y3
Q8N423
Q8N428
Q8N488
Q8N4M1
Q8N5D6
Q8N6S5
Q8N766
Q8N8E3
Q8NAM6
Q8NAS1
Q8NBJ5
Q8NBV8
Q8NBX0
Q8NCA5
Q8NEJ9
Q8NET5
Q8NEW0
Q8NFD5
Q8NFH5
Q8NHY0
Q8NI17
Q8TAD8
Q8TAQ2
Q8TCT1
Q8TD10
Q8TD19
Q8TD43
Q8TD84
Q8TDN1
Q8TDQ0
Q8TDQ1
Q8TEM1
Q8TEQ6
Q8TEQ8
Q8WTV0
Q8WUY8
Q8WVC6
Q8WWV6
Q8WXD5
Q8WYA6
Q92552
Q92615
Q92637
Q92729
Q92759
Q92769
Q92785
Q92793
Q92820
Q92847
Q92900
Q92905
Q92922
Q92925
Q92995
Q93008
Q969G3
Q969H6
Q969J5
Q969X5
Q96A26
Q96AY3
Q96B26
Q96CN9
Q96CW1
Q96CW5
Q96D53
Q96DA6
Q96DG6
Q96DU3
Q96DZ1
Q96ER3
Q96F45
Q96F46
Q96FL8
Q96GM5
Q96HK7
Q96HL8
Q96HW7
Q96I59
Q96IV0
Q96IZ5
Q96JC1
Q96JJ7
Q96K12
Q96LQ8
Q96ME2
Q96MM7
Q96N16
Q96PQ1
Q96RG1
Q96RL6
Q96S52
Q96S66
Q96S97
Q96T76
Q96T88
Q99081
Q99470
Q99519
Q99567
Q99571
Q99720
Q99808
Q99959
Q99988
Q9BPW9
Q9BQ95
Q9BQE4
Q9BQQ3
Q9BQS8
Q9BQT8
Q9BRN9
Q9BRX2
Q9BS26
Q9BSC4
Q9BSF4
Q9BSJ2
Q9BU02
Q9BV19
Q9BV73
Q9BVK2
Q9BVL2
Q9BW27
Q9BW92
Q9BXI2
Q9BYF1
Q9BYT9
Q9BZF1
Q9BZL1
Q9BZQ6
Q9BZW1
Q9BZY3
Q9C012
Q9C0B5
Q9C0D3
Q9GZN8
Q9GZT3
Q9GZU3
Q9GZV3
Q9H0X9
Q9H0Z1
Q9H117
Q9H173
Q9H1K4
Q9H1Y2
Q9H270
Q9H2P9
Q9H3K2
Q9H488
Q9H4F8
Q9H4P4
Q9H6F5
Q9H773
Q9H7F0
Q9H7Z7
Q9H840
Q9H845
Q9H8E8
Q9H8W4
Q9HA64
Q9HAC8
Q9HAN5
Q9HAS3
Q9HAU0
Q9HAV7
Q9HBJ5
Q9HBJ8
Q9HCE1
Q9HCE9
Q9HCK4
Q9HCM2
Q9HCN6
Q9HCQ5
Q9HD20
Q9HD33
Q9HD40
Q9NPR2
Q9NPZ5
Q9NQ29
Q9NQC3
Q9NQT4
Q9NQT5
Q9NR30
Q9NR96
Q9NR97
Q9NRC6
Q9NRH0
Q9NSV4
Q9NU22
Q9NUC0
Q9NUS9
Q9NUW8
Q9NV92
Q9NVH1
Q9NW13
Q9NWZ8
Q9NXA8
Q9NXH9
Q9NXK8
Q9NY61
Q9NY68
Q9NY72
Q9NYK1
Q9NYU1
Q9NZ01
Q9NZA8
Q9NZJ7
Q9P0L2
Q9P283
Q9P2D8
Q9P2E5
Q9P2E9
Q9P2K8
Q9UBU6
Q9UBW7
Q9UBX5
Q9UC33
Q9UDR5
Q9UGN2
Q9UGU5
Q9UH99
Q9UHB4
Q9UHD2
Q9UHD9
Q9UHG3
Q9UHI6
Q9UHI8
Q9UIE9
Q9UIV8
Q9UIW9
Q9UJ54
Q9UJC3
Q9UJZ1
Q9UKA9
Q9UKJ1
Q9UKM9
Q9UKX5
Q9UL03
Q9UL15
Q9UL56
Q9ULC4
Q9ULQ3
Q9ULS1
Q9ULT8
Q9ULX6
Q9UM00
Q9UN86
Q9UP19
Q9UPK7
Q9UPQ8
Q9UPR3
Q9UQA0
Q9UQN3
Q9UQQ4
Q9Y262
Q9Y276
Q9Y2I6
Q9Y2S4
Q9Y2X0
Q9Y312
Q9Y375
Q9Y399
Q9Y3A6
Q9Y3F4
Q9Y3U8
Q9Y489
Q9Y4B4
Q9Y4G9
Q9Y4L1
Q9Y4X0
Q9Y5A7
Q9Y5J6
Q9Y5J7
Q9Y5J9
Q9Y673
Q9Y6E2
Q9Y6J0
Q9Y6J5
Q9Y6M9
Q9Y6Q9
