gene_symbol	uniprot	tdl	tdl_priority
DSC3	Q14574	Tbio	3
DSCAM	O60469	Tbio	3
DSCAML1	Q8TD84	Tbio	3
DSCC1	Q9BVC3	Tbio	3
DSCR10	P59022	Tdark	4
DSCR4	P56555	Tdark	4
DSCR8	Q96T75	Tdark	4
DSCR9	P59020	Tdark	4
DSE	Q9UL01	Tbio	3
DSEL	Q8IZU8	Tdark	4
DSG1	Q02413	Tbio	3
DSG2	Q14126	Tbio	3
DSG3	P32926	Tbio	3
DSG4	Q86SJ6	Tbio	3
DSN1	Q9H410	Tbio	3
DSP	P15924	Tbio	3
DSPP	Q9NZW4	Tbio	3
DST	Q03001	Tbio	3
DSTN	P60981	Tbio	3
DSTYK	Q6XUX3	Tchem	2
DTD1	Q8TEA8	Tbio	3
DTD2	Q96FN9	Tbio	3
DTHD1	Q6ZMT9	Tdark	4
DTL	Q9NZJ0	Tbio	3
DTNA	Q9Y4J8	Tbio	3
DTNB	O60941	Tbio	3
DTNBP1	Q96EV8	Tbio	3
DTWD1	Q8N5C7	Tdark	4
DTWD2	Q8NBA8	Tdark	4
DTX1	Q86Y01	Tbio	3
DTX2	Q86UW9	Tbio	3
DTX3	Q8N9I9	Tbio	3
DTX3L	Q8TDB6	Tbio	3
DTX4	Q9Y2E6	Tbio	3
DTYMK	P23919	Tbio	3
DUOX1	Q9NRD9	Tbio	3
DUOX2	Q9NRD8	Tchem	2
DUOXA1	Q1HG43	Tbio	3
DUOXA2	Q1HG44	Tbio	3
DUS1L	Q6P1R4	Tdark	4
DUS2	Q9NX74	Tbio	3
DUS3L	Q96G46	Tdark	4
DUS4L	O95620	Tbio	3
DUSP1	P28562	Tchem	2
DUSP10	Q9Y6W6	Tbio	3
DUSP11	O75319	Tbio	3
DUSP12	Q9UNI6	Tbio	3
DUSP13	Q6B8I1	Tbio	3
DUSP14	O95147	Tbio	3
DUSP15	Q9H1R2	Tbio	3
DUSP16	Q9BY84	Tbio	3
DUSP18	Q8NEJ0	Tbio	3
DUSP19	Q8WTR2	Tdark	4
DUSP2	Q05923	Tbio	3
DUSP21	Q9H596	Tdark	4
DUSP22	Q9NRW4	Tbio	3
DUSP23	Q9BVJ7	Tbio	3
DUSP26	Q9BV47	Tbio	3
DUSP28	Q4G0W2	Tbio	3
DUSP29	Q68J44	Tbio	3
DUSP3	P51452	Tchem	2
DUSP4	Q13115	Tbio	3
DUSP5	Q16690	Tbio	3
DUSP6	Q16828	Tbio	3
DUSP7	Q16829	Tbio	3
DUSP8	Q13202	Tbio	3
DUSP9	Q99956	Tbio	3
DUT	P33316	Tchem	2
DUX1	O43812	Tbio	3
DUX3	Q96PT4	Tdark	4
DUX4	Q9UBX2	Tbio	3
DUX4L2	P0CJ85	Tdark	4
DUX4L3	P0CJ86	Tdark	4
DUX4L4	P0CJ87	Tdark	4
DUX4L5	P0CJ88	Tdark	4
DUX4L6	P0CJ89	Tdark	4
DUX4L7	P0CJ90	Tdark	4
DUX4L9	Q6RFH8	Tdark	4
DUX5	Q96PT3	Tdark	4
DUXA	A6NLW8	Tdark	4
DVL1	O14640	Tchem	2
DVL1P1	P54792	Tdark	4
DVL2	O14641	Tbio	3
DVL3	Q92997	Tbio	3
DXO	O77932	Tbio	3
DYDC1	Q8WWB3	Tbio	3
DYDC2	Q96IM9	Tdark	4
DYM	Q7RTS9	Tbio	3
DYNAP	Q8N1N2	Tbio	3
DYNC1H1	Q14204	Tbio	3
DYNC1I1	O14576	Tbio	3
DYNC1I2	Q13409	Tbio	3
DYNC1LI1	Q9Y6G9	Tbio	3
DYNC1LI2	O43237	Tbio	3
DYNC2H1	Q8NCM8	Tbio	3
DYNC2I1	Q8WVS4	Tbio	3
DYNC2I2	Q96EX3	Tbio	3
DYNC2LI1	Q8TCX1	Tbio	3
DYNLL1	P63167	Tbio	3
DYNLL2	Q96FJ2	Tbio	3
DYNLRB1	Q9NP97	Tbio	3
DYNLRB2	Q8TF09	Tbio	3
DYNLT1	P63172	Tbio	3
DYNLT2	Q8IZS6	Tdark	4
DYNLT2B	Q8WW35	Tbio	3
DYNLT3	P51808	Tbio	3
DYNLT4	Q5JR98	Tbio	3
DYNLT5	Q8N7M0	Tdark	4
DYRK1A	Q13627	Tchem	2
DYRK1B	Q9Y463	Tchem	2
DYRK2	Q92630	Tchem	2
DYRK3	O43781	Tchem	2
DYRK4	Q9NR20	Tchem	2
DYSF	O75923	Tbio	3
DYTN	A2CJ06	Tdark	4
DZANK1	Q9NVP4	Tdark	4
DZIP1	Q86YF9	Tbio	3
DZIP1L	Q8IYY4	Tdark	4
DZIP3	Q86Y13	Tdark	4
E2F1	Q01094	Tbio	3
E2F2	Q14209	Tbio	3
E2F3	O00716	Tbio	3
E2F4	Q16254	Tbio	3
E2F5	Q15329	Tbio	3
E2F6	O75461	Tbio	3
E2F7	Q96AV8	Tbio	3
E2F8	A0AVK6	Tbio	3
E4F1	Q66K89	Tbio	3
EAF1	Q96JC9	Tbio	3
EAF2	Q96CJ1	Tbio	3
EAPP	Q56P03	Tbio	3
EARS2	Q5JPH6	Tbio	3
EBAG9	O00559	Tbio	3
EBF1	Q9UH73	Tbio	3
EBF2	Q9HAK2	Tbio	3
EBF3	Q9H4W6	Tbio	3
EBF4	Q9BQW3	Tbio	3
EBI3	Q14213	Tbio	3
EBLN1	P0CF75	Tdark	4
EBLN2	Q6P2I7	Tdark	4
EBNA1BP2	Q99848	Tbio	3
EBP	Q15125	Tchem	2
EBPL	Q9BY08	Tchem	2
ECD	O95905	Tbio	3
ECE1	P42892	Tchem	2
ECE2	P0DPD6	Tchem	2
ECEL1	O95672	Tbio	3
ECH1	Q13011	Tbio	3
ECHDC1	Q9NTX5	Tbio	3
ECHDC2	Q86YB7	Tdark	4
ECHDC3	Q96DC8	Tdark	4
ECHS1	P30084	Tbio	3
ECI1	P42126	Tbio	3
ECI2	O75521	Tbio	3
ECM1	Q16610	Tbio	3
ECM2	O94769	Tdark	4
ECPAS	Q5VYK3	Tbio	3
ECRG4	Q9H1Z8	Tbio	3
ECSCR	Q19T08	Tbio	3
ECSIT	Q9BQ95	Tbio	3
ECT2	Q9H8V3	Tbio	3
ECT2L	Q008S8	Tdark	4
EDA	Q92838	Tbio	3
EDA2R	Q9HAV5	Tbio	3
EDAR	Q9UNE0	Tbio	3
EDARADD	Q8WWZ3	Tbio	3
EDC3	Q96F86	Tbio	3
EDC4	Q6P2E9	Tbio	3
EDDM13	A0A1B0GTR0	Tdark	4
EDDM3A	Q14507	Tdark	4
EDDM3B	P56851	Tdark	4
EDEM1	Q92611	Tbio	3
EDEM2	Q9BV94	Tbio	3
EDEM3	Q9BZQ6	Tbio	3
EDF1	O60869	Tbio	3
EDIL3	O43854	Tbio	3
EDN1	P05305	Tbio	3
EDN2	P20800	Tbio	3
EDN3	P14138	Tbio	3
EDNRA	P25101	Tclin	1
EDNRB	P24530	Tclin	1
EDRF1	Q3B7T1	Tdark	4
EEA1	Q15075	Tbio	3
EED	O75530	Tchem	2
EEF1A1	P68104	Tchem	2
EEF1A1P5	Q5VTE0	Tdark	4
EEF1A2	Q05639	Tchem	2
EEF1AKMT1	Q8WVE0	Tdark	4
EEF1AKMT2	Q5JPI9	Tdark	4
EEF1AKMT3	Q96AZ1	Tdark	4
EEF1AKMT4	P0DPD7	Tdark	4
EEF1AKMT4-ECE2	P0DPD8	Tdark	4
EEF1AKNMT	Q8N6R0	Tbio	3
EEF1B2	P24534	Tbio	3
EEF1D	P29692	Tbio	3
EEF1DP3	Q658K8	Tdark	4
EEF1E1	O43324	Tbio	3
EEF1G	P26641	Tbio	3
EEF2	P13639	Tchem	2
EEF2K	O00418	Tchem	2
EEF2KMT	Q96G04	Tdark	4
EEFSEC	P57772	Tbio	3
EEPD1	Q7L9B9	Tbio	3
EFCAB1	Q9HAE3	Tdark	4
EFCAB10	A6NFE3	Tdark	4
EFCAB11	Q9BUY7	Tdark	4
EFCAB12	Q6NXP0	Tdark	4
EFCAB13	Q8IY85	Tdark	4
EFCAB14	O75071	Tdark	4
EFCAB2	Q5VUJ9	Tdark	4
EFCAB3	Q8N7B9	Tdark	4
EFCAB5	A4FU69	Tdark	4
EFCAB6	Q5THR3	Tdark	4
EFCAB7	A8K855	Tdark	4
EFCAB8	A8MWE9	Tdark	4
EFCAB9	A8MZ26	Tdark	4
EFCC1	Q9HA90	Tdark	4
EFEMP1	Q12805	Tbio	3
EFEMP2	O95967	Tbio	3
EFHB	Q8N7U6	Tdark	4
EFHC1	Q5JVL4	Tbio	3
EFHC2	Q5JST6	Tbio	3
EFHD1	Q9BUP0	Tbio	3
EFHD2	Q96C19	Tbio	3
EFL1	Q7Z2Z2	Tbio	3
EFNA1	P20827	Tbio	3
EFNA2	O43921	Tbio	3
EFNA3	P52797	Tbio	3
EFNA4	P52798	Tbio	3
EFNA5	P52803	Tbio	3
EFNB1	P98172	Tbio	3
EFNB2	P52799	Tbio	3
EFNB3	Q15768	Tbio	3
EFR3A	Q14156	Tdark	4
EFR3B	Q9Y2G0	Tbio	3
EFS	O43281	Tbio	3
EFTUD2	Q15029	Tbio	3
EGF	P01133	Tbio	3
EGFEM1P	Q0D2K5	Tdark	4
EGFL6	Q8IUX8	Tbio	3
EGFL7	Q9UHF1	Tbio	3
EGFL8	Q99944	Tbio	3
EGFLAM	Q63HQ2	Tbio	3
EGFR	P00533	Tclin	1
EGLN1	Q9GZT9	Tclin	1
EGLN2	Q96KS0	Tclin	1
EGLN3	Q9H6Z9	Tclin	1
EGR1	P18146	Tbio	3
EGR2	P11161	Tbio	3
EGR3	Q06889	Tbio	3
EGR4	Q05215	Tbio	3
EHBP1	Q8NDI1	Tbio	3
EHBP1L1	Q8N3D4	Tdark	4
EHD1	Q9H4M9	Tbio	3
EHD2	Q9NZN4	Tbio	3
EHD3	Q9NZN3	Tbio	3
EHD4	Q9H223	Tbio	3
EHF	Q9NZC4	Tbio	3
EHHADH	Q08426	Tbio	3
EHMT1	Q9H9B1	Tchem	2
EHMT2	Q96KQ7	Tchem	2
EI24	O14681	Tbio	3
EID1	Q9Y6B2	Tbio	3
EID2	Q8N6I1	Tbio	3
EID2B	Q96D98	Tdark	4
EID3	Q8N140	Tdark	4
EIF1	P41567	Tbio	3
EIF1AD	Q8N9N8	Tdark	4
EIF1AX	P47813	Tbio	3
EIF1AY	O14602	Tdark	4
EIF1B	O60739	Tbio	3
EIF2A	Q9BY44	Tbio	3
EIF2AK1	Q9BQI3	Tchem	2
EIF2AK2	P19525	Tchem	2
EIF2AK3	Q9NZJ5	Tchem	2
EIF2AK4	Q9P2K8	Tchem	2
EIF2B1	Q14232	Tbio	3
EIF2B2	P49770	Tbio	3
EIF2B3	Q9NR50	Tbio	3
EIF2B4	Q9UI10	Tbio	3
EIF2B5	Q13144	Tbio	3
EIF2D	P41214	Tbio	3
EIF2S1	P05198	Tbio	3
EIF2S2	P20042	Tbio	3
EIF2S3	P41091	Tbio	3
EIF2S3B	Q2VIR3	Tdark	4
EIF3A	Q14152	Tbio	3
EIF3B	P55884	Tbio	3
EIF3C	Q99613	Tbio	3
EIF3CL	B5ME19	Tdark	4
EIF3D	O15371	Tbio	3
EIF3E	P60228	Tbio	3
EIF3F	O00303	Tbio	3
EIF3G	O75821	Tbio	3
EIF3H	O15372	Tbio	3
EIF3I	Q13347	Tbio	3
EIF3J	O75822	Tbio	3
EIF3K	Q9UBQ5	Tbio	3
EIF3L	Q9Y262	Tbio	3
EIF3M	Q7L2H7	Tbio	3
EIF4A1	P60842	Tchem	2
EIF4A2	Q14240	Tbio	3
EIF4A3	P38919	Tbio	3
EIF4B	P23588	Tbio	3
EIF4E	P06730	Tchem	2
EIF4E1B	A6NMX2	Tdark	4
EIF4E2	O60573	Tbio	3
EIF4E3	Q8N5X7	Tbio	3
EIF4EBP1	Q13541	Tbio	3
EIF4EBP2	Q13542	Tbio	3
EIF4EBP3	O60516	Tbio	3
EIF4ENIF1	Q9NRA8	Tbio	3
EIF4G1	Q04637	Tbio	3
EIF4G2	P78344	Tbio	3
EIF4G3	O43432	Tbio	3
EIF4H	Q15056	Tchem	2
EIF5	P55010	Tbio	3
EIF5A	P63241	Tbio	3
EIF5A2	Q9GZV4	Tbio	3
EIF5AL1	Q6IS14	Tdark	4
EIF5B	O60841	Tbio	3
EIF6	P56537	Tbio	3
EIPR1	Q53HC9	Tbio	3
ELAC1	Q9H777	Tbio	3
ELAC2	Q9BQ52	Tbio	3
ELANE	P08246	Tclin	1
ELAPOR1	Q6UXG2	Tbio	3
ELAPOR2	A8MWY0	Tdark	4
ELAVL1	Q15717	Tchem	2
ELAVL2	Q12926	Tbio	3
ELAVL3	Q14576	Tbio	3
ELAVL4	P26378	Tbio	3
ELF1	P32519	Tbio	3
ELF2	Q15723	Tbio	3
ELF3	P78545	Tbio	3
ELF4	Q99607	Tbio	3
ELF5	Q9UKW6	Tbio	3
ELFN1	P0C7U0	Tbio	3
ELFN2	Q5R3F8	Tdark	4
ELK1	P19419	Tbio	3
ELK3	P41970	Tbio	3
ELK4	P28324	Tbio	3
ELL	P55199	Tbio	3
ELL2	O00472	Tbio	3
ELL3	Q9HB65	Tbio	3
ELMO1	Q92556	Tbio	3
ELMO2	Q96JJ3	Tbio	3
ELMO3	Q96BJ8	Tbio	3
ELMOD1	Q8N336	Tbio	3
ELMOD2	Q8IZ81	Tbio	3
ELMOD3	Q96FG2	Tdark	4
ELN	P15502	Tbio	3
ELOA	Q14241	Tbio	3
ELOA2	Q8IYF1	Tdark	4
ELOA3BP	Q3SY89	Tdark	4
ELOA3CP	A0A087WX78	Tdark	4
ELOA3DP	A6NLF2	Tdark	4
ELOA3P	Q8NG57	Tdark	4
ELOB	Q15370	Tbio	3
ELOC	Q15369	Tbio	3
ELOF1	P60002	Tdark	4
ELOVL1	Q9BW60	Tbio	3
ELOVL2	Q9NXB9	Tbio	3
ELOVL3	Q9HB03	Tchem	2
ELOVL4	Q9GZR5	Tbio	3
ELOVL5	Q9NYP7	Tbio	3
ELOVL6	Q9H5J4	Tchem	2
ELOVL7	A1L3X0	Tbio	3
ELP1	O95163	Tbio	3
ELP2	Q6IA86	Tbio	3
ELP3	Q9H9T3	Tbio	3
ELP4	Q96EB1	Tbio	3
ELP5	Q8TE02	Tbio	3
ELP6	Q0PNE2	Tbio	3
ELSPBP1	Q96BH3	Tbio	3
EMB	Q6PCB8	Tbio	3
EMC1	Q8N766	Tbio	3
EMC10	Q5UCC4	Tbio	3
EMC2	Q15006	Tbio	3
EMC3	Q9P0I2	Tbio	3
EMC4	Q5J8M3	Tdark	4
EMC6	Q9BV81	Tbio	3
EMC7	Q9NPA0	Tdark	4
EMC8	O43402	Tdark	4
EMC9	Q9Y3B6	Tdark	4
EMCN	Q9ULC0	Tbio	3
EMD	P50402	Tbio	3
EME1	Q96AY2	Tbio	3
EME2	A4GXA9	Tbio	3
EMG1	Q92979	Tbio	3
EMID1	Q96A84	Tdark	4
EMILIN1	Q9Y6C2	Tbio	3
EMILIN2	Q9BXX0	Tbio	3
EMILIN3	Q9NT22	Tbio	3
EML1	O00423	Tbio	3
EML2	O95834	Tbio	3
EML3	Q32P44	Tdark	4
EML4	Q9HC35	Tbio	3
EML5	Q05BV3	Tdark	4
EML6	Q6ZMW3	Tdark	4
EMP1	P54849	Tbio	3
EMP2	P54851	Tbio	3
EMP3	P54852	Tbio	3
EMSY	Q7Z589	Tbio	3
EMX1	Q04741	Tbio	3
EMX2	Q04743	Tbio	3
EN1	Q05925	Tbio	3
EN2	P19622	Tbio	3
ENAH	Q8N8S7	Tbio	3
ENAM	Q9NRM1	Tbio	3
ENC1	O14682	Tbio	3
ENDOD1	O94919	Tdark	4
ENDOG	Q14249	Tbio	3
ENDOU	P21128	Tbio	3
ENDOV	Q8N8Q3	Tbio	3
ENG	P17813	Tbio	3
ENGASE	Q8NFI3	Tchem	2
ENHO	Q6UWT2	Tbio	3
ENKD1	Q9H0I2	Tdark	4
ENKUR	Q8TC29	Tdark	4
ENO1	P06733	Tchem	2
ENO2	P09104	Tbio	3
ENO3	P13929	Tbio	3
ENO4	A6NNW6	Tbio	3
ENOPH1	Q9UHY7	Tbio	3
ENOSF1	Q7L5Y1	Tbio	3
ENOX1	Q8TC92	Tbio	3
ENOX2	Q16206	Tbio	3
ENPEP	Q07075	Tchem	2
ENPP1	P22413	Tchem	2
ENPP2	Q13822	Tchem	2
ENPP3	O14638	Tbio	3
ENPP4	Q9Y6X5	Tbio	3
ENPP5	Q9UJA9	Tdark	4
ENPP6	Q6UWR7	Tbio	3
ENPP7	Q6UWV6	Tbio	3
ENSA	O43768	Tbio	3
ENTHD1	Q8IYW4	Tdark	4
ENTPD1	P49961	Tchem	2
ENTPD2	Q9Y5L3	Tchem	2
ENTPD3	O75355	Tbio	3
ENTPD4	Q9Y227	Tbio	3
ENTPD5	O75356	Tbio	3
ENTPD6	O75354	Tbio	3
ENTPD7	Q9NQZ7	Tbio	3
ENTPD8	Q5MY95	Tbio	3
ENTR1	Q96C92	Tbio	3
ENY2	Q9NPA8	Tbio	3
EOGT	Q5NDL2	Tbio	3
EOLA1	Q8TE69	Tbio	3
EOLA2	Q96DE9	Tdark	4
EOMES	O95936	Tbio	3
EP300	Q09472	Tchem	2
EP400	Q96L91	Tbio	3
EP400P1	Q6ZTU2	Tdark	4
EPAS1	Q99814	Tchem	2
EPB41	P11171	Tbio	3
EPB41L1	Q9H4G0	Tbio	3
EPB41L2	O43491	Tbio	3
EPB41L3	Q9Y2J2	Tbio	3
EPB41L4A	Q9HCS5	Tdark	4
EPB41L4B	Q9H329	Tbio	3
EPB41L5	Q9HCM4	Tbio	3
EPB42	P16452	Tbio	3
EPC1	Q9H2F5	Tbio	3
EPC2	Q52LR7	Tbio	3
EPCAM	P16422	Tbio	3
EPDR1	Q9UM22	Tbio	3
EPG5	Q9HCE0	Tbio	3
EPGN	Q6UW88	Tbio	3
EPHA1	P21709	Tchem	2
EPHA10	Q5JZY3	Tbio	3
EPHA2	P29317	Tclin	1
EPHA3	P29320	Tchem	2
EPHA4	P54764	Tchem	2
EPHA5	P54756	Tchem	2
EPHA6	Q9UF33	Tchem	2
EPHA7	Q15375	Tchem	2
EPHA8	P29322	Tchem	2
EPHB1	P54762	Tchem	2
EPHB2	P29323	Tchem	2
EPHB3	P54753	Tchem	2
EPHB4	P54760	Tchem	2
EPHB6	O15197	Tchem	2
EPHX1	P07099	Tchem	2
EPHX2	P34913	Tchem	2
EPHX3	Q9H6B9	Tbio	3
EPHX4	Q8IUS5	Tdark	4
EPM2A	O95278	Tbio	3
EPM2AIP1	Q7L775	Tdark	4
EPN1	Q9Y6I3	Tbio	3
EPN2	O95208	Tbio	3
EPN3	Q9H201	Tbio	3
EPO	P01588	Tbio	3
EPOP	A6NHQ4	Tdark	4
EPOR	P19235	Tclin	1
EPPIN	O95925	Tbio	3
EPPK1	P58107	Tdark	4
EPRS1	P07814	Tchem	2
EPS15	P42566	Tbio	3
EPS15L1	Q9UBC2	Tbio	3
EPS8	Q12929	Tbio	3
EPS8L1	Q8TE68	Tbio	3
EPS8L2	Q9H6S3	Tbio	3
EPS8L3	Q8TE67	Tdark	4
EPSTI1	Q96J88	Tbio	3
EPX	P11678	Tbio	3
EPYC	Q99645	Tbio	3
EQTN	Q9NQ60	Tdark	4
ERAL1	O75616	Tbio	3
ERAP1	Q9NZ08	Tchem	2
ERAP2	Q6P179	Tchem	2
ERAS	Q7Z444	Tbio	3
ERBB2	P04626	Tclin	1
ERBB3	P21860	Tchem	2
ERBB4	Q15303	Tclin	1
ERBIN	Q96RT1	Tbio	3
ERC1	Q8IUD2	Tbio	3
ERC2	O15083	Tbio	3
ERC2-IT1	O76042	Tdark	4
ERCC1	P07992	Tbio	3
ERCC2	P18074	Tbio	3
ERCC3	P19447	Tbio	3
ERCC4	Q92889	Tbio	3
ERCC5	P28715	Tchem	2
ERCC6	P0DP91	Tbio	3
ERCC6L	Q2NKX8	Tbio	3
ERCC6L2	Q5T890	Tbio	3
ERCC8	Q13216	Tbio	3
EREG	O14944	Tbio	3
ERF	P50548	Tbio	3
ERFE	Q4G0M1	Tbio	3
ERG	P11308	Tchem	2
ERG28	Q9UKR5	Tbio	3
ERGIC1	Q969X5	Tbio	3
ERGIC2	Q96RQ1	Tbio	3
ERGIC3	Q9Y282	Tbio	3
ERH	P84090	Tbio	3
ERI1	Q8IV48	Tbio	3
ERI2	A8K979	Tbio	3
ERI3	O43414	Tbio	3
ERICH1	Q86X53	Tdark	4
ERICH2	A1L162	Tdark	4
ERICH3	Q5RHP9	Tdark	4
ERICH4	A6NGS2	Tdark	4
ERICH5	Q6P6B1	Tdark	4
ERICH6	Q7L0X2	Tdark	4
ERICH6B	Q5W0A0	Tdark	4
ERLEC1	Q96DZ1	Tbio	3
ERLIN1	O75477	Tbio	3
ERLIN2	O94905	Tbio	3
ERMAP	Q96PL5	Tbio	3
ERMARD	Q5T6L9	Tdark	4
ERMN	Q8TAM6	Tbio	3
ERMP1	Q7Z2K6	Tdark	4
ERN1	O75460	Tchem	2
ERN2	Q76MJ5	Tbio	3
ERO1A	Q96HE7	Tbio	3
ERO1B	Q86YB8	Tbio	3
ERP27	Q96DN0	Tbio	3
ERP29	P30040	Tbio	3
ERP44	Q9BS26	Tbio	3
ERRFI1	Q9UJM3	Tbio	3
ERV3-1	Q14264	Tbio	3
ERVFC1	P60507	Tdark	4
ERVFC1-1	P60608	Tdark	4
ERVFRD-1	P60508	Tbio	3
ERVH48-1	M5A8F1	Tdark	4
ERVK-10	P10265	Tdark	4
ERVK-11	Q9UQG0	Tdark	4
ERVK-16	P61578	Tdark	4
ERVK-18	Q9QC07	Tdark	4
ERVK-19	Q9YNA8	Tdark	4
ERVK-21	P63119	Tdark	4
ERVK-24	P63129	Tdark	4
ERVK-25	P63125	Tdark	4
ERVK-5	P61583	Tdark	4
ERVK-6	Q69383	Tbio	3
ERVK-7	P61567	Tdark	4
ERVK-8	Q902F8	Tdark	4
ERVK-9	Q9UKH3	Tdark	4
ERVK11-1	P61568	Tdark	4
ERVK13-1	Q9NX77	Tdark	4
ERVMER34-1	Q9H9K5	Tdark	4
ERVPABLB-1	P60509	Tdark	4
ERVS71-1	P61550	Tdark	4
ERVV-1	B6SEH8	Tdark	4
ERVV-2	B6SEH9	Tdark	4
ERVW-1	Q9UQF0	Tbio	3
ESAM	Q96AP7	Tbio	3
ESCO1	Q5FWF5	Tbio	3
ESCO2	Q56NI9	Tbio	3
ESD	P10768	Tbio	3
ESF1	Q9H501	Tbio	3
ESM1	Q9NQ30	Tbio	3
ESPL1	Q14674	Tbio	3
ESPN	B1AK53	Tbio	3
ESPNL	Q6ZVH7	Tdark	4
ESR1	P03372	Tclin	1
ESR2	Q92731	Tclin	1
ESRG	Q1W209	Tdark	4
ESRP1	Q6NXG1	Tbio	3
ESRP2	Q9H6T0	Tbio	3
ESRRA	P11474	Tchem	2
ESRRB	O95718	Tchem	2
ESRRG	P62508	Tchem	2
ESS2	Q96DF8	Tbio	3
ESX1	Q8N693	Tbio	3
ESYT1	Q9BSJ8	Tbio	3
ESYT2	A0FGR8	Tbio	3
ESYT3	A0FGR9	Tbio	3
ETAA1	Q9NY74	Tbio	3
ETDA	Q3ZM63	Tdark	4
ETDB	P0DPP9	Tdark	4
ETDC	A0A1B0GVM5	Tdark	4
ETF1	P62495	Tbio	3
ETFA	P13804	Tbio	3
ETFB	P38117	Tbio	3
ETFBKMT	Q8IXQ9	Tbio	3
ETFDH	Q16134	Tbio	3
ETFRF1	Q6IPR1	Tdark	4
ETHE1	O95571	Tbio	3
ETNK1	Q9HBU6	Tbio	3
ETNK2	Q9NVF9	Tbio	3
ETNPPL	Q8TBG4	Tbio	3
ETS1	P14921	Tbio	3
ETS2	P15036	Tbio	3
ETV1	P50549	Tbio	3
ETV2	O00321	Tbio	3
ETV3	P41162	Tbio	3
ETV3L	Q6ZN32	Tdark	4
ETV4	P43268	Tbio	3
ETV5	P41161	Tbio	3
ETV6	P41212	Tbio	3
ETV7	Q9Y603	Tbio	3
EURL	Q9NYK6	Tbio	3
EVA1A	Q9H8M9	Tbio	3
EVA1B	Q9NVM1	Tdark	4
EVA1C	P58658	Tbio	3
EVC	P57679	Tbio	3
EVC2	Q86UK5	Tbio	3
EVI2A	P22794	Tbio	3
EVI2B	P34910	Tbio	3
EVI5	O60447	Tbio	3
EVI5L	Q96CN4	Tbio	3
EVL	Q9UI08	Tbio	3
EVPL	Q92817	Tbio	3
EVPLL	A8MZ36	Tdark	4
EVX1	P49640	Tbio	3
EVX2	Q03828	Tbio	3
EWSR1	Q01844	Tbio	3
EXD1	Q8NHP7	Tdark	4
EXD2	Q9NVH0	Tbio	3
EXD3	Q8N9H8	Tbio	3
EXO1	Q9UQ84	Tbio	3
EXO5	Q9H790	Tbio	3
EXOC1	Q9NV70	Tbio	3
EXOC1L	A0A1B0GW35	Tdark	4
EXOC2	Q96KP1	Tbio	3
EXOC3	O60645	Tbio	3
EXOC3-AS1	Q8N2X6	Tdark	4
EXOC3L1	Q86VI1	Tdark	4
EXOC3L2	Q2M3D2	Tbio	3
EXOC3L4	Q17RC7	Tdark	4
EXOC4	Q96A65	Tbio	3
EXOC5	O00471	Tbio	3
EXOC6	Q8TAG9	Tbio	3
EXOC6B	Q9Y2D4	Tbio	3
EXOC7	Q9UPT5	Tbio	3
EXOC8	Q8IYI6	Tbio	3
EXOG	Q9Y2C4	Tbio	3
EXOSC1	Q9Y3B2	Tbio	3
EXOSC10	Q01780	Tbio	3
EXOSC2	Q13868	Tbio	3
EXOSC3	Q9NQT5	Tbio	3
EXOSC4	Q9NPD3	Tbio	3
EXOSC5	Q9NQT4	Tbio	3
EXOSC6	Q5RKV6	Tbio	3
EXOSC7	Q15024	Tbio	3
EXOSC8	Q96B26	Tbio	3
EXOSC9	Q06265	Tbio	3
EXPH5	Q8NEV8	Tbio	3
EXT1	Q16394	Tbio	3
EXT2	Q93063	Tbio	3
EXTL1	Q92935	Tbio	3
EXTL2	Q9UBQ6	Tbio	3
EXTL3	O43909	Tbio	3
EYA1	Q99502	Tbio	3
EYA2	O00167	Tbio	3
EYA3	Q99504	Tbio	3
EYA4	O95677	Tbio	3
EYS	Q5T1H1	Tbio	3
EZH1	Q92800	Tchem	2
EZH2	Q15910	Tchem	2
EZHIP	Q86X51	Tdark	4
EZR	P15311	Tbio	3
F10	P00742	Tclin	1
F11	P03951	Tchem	2
F11R	Q9Y624	Tbio	3
F12	P00748	Tchem	2
F13A1	P00488	Tchem	2
F13B	P05160	Tbio	3
F2	P00734	Tclin	1
F2R	P25116	Tclin	1
F2RL1	P55085	Tchem	2
F2RL2	O00254	Tbio	3
F2RL3	Q96RI0	Tchem	2
F3	P13726	Tchem	2
F5	P12259	Tbio	3
F7	P08709	Tchem	2
F8	P00451	Tbio	3
F8A1	P23610	Tbio	3
F8A2	P23610	Tbio	3
F8A3	P23610	Tbio	3
F9	P00740	Tchem	2
FA2H	Q7L5A8	Tbio	3
FAAH	O00519	Tchem	2
FAAH2	Q6GMR7	Tchem	2
FAAP100	Q0VG06	Tdark	4
FAAP20	Q6NZ36	Tbio	3
FAAP24	Q9BTP7	Tbio	3
FABP1	P07148	Tchem	2
FABP12	A6NFH5	Tdark	4
FABP2	P12104	Tchem	2
FABP3	P05413	Tchem	2
FABP4	P15090	Tchem	2
FABP5	Q01469	Tchem	2
FABP5P3	A8MUU1	Tdark	4
FABP6	P51161	Tbio	3
FABP7	O15540	Tbio	3
FABP9	Q0Z7S8	Tbio	3
FADD	Q13158	Tbio	3
FADS1	O60427	Tchem	2
FADS2	O95864	Tbio	3
FADS2B	A8MWK0	Tdark	4
FADS3	Q9Y5Q0	Tbio	3
