gene	is_in_crispr	is_in_drugcentral	is_in_hats	is_in_jdti	is_in_natdt	is_in_phipster	is_in_preprint	is_in_string	is_in_taiml	node_type	target_type	tdl	tdl_priority	uniprot	metadata
BACE1	False	True	False	True	False	False	False	True	False	target	human	Tchem	2.0	P56817	metadata
BAG5	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9UL15	metadata
BAG6	False	False	False	False	False	True	False	True	True	target	human	Tbio	3.0	P46379	metadata
BAK1	False	False	True	False	False	False	False	False	False	target	human	Tbio	3.0	Q16611	metadata
BASP1	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	P80723	metadata
BAX	False	False	True	False	True	False	False	True	False	target	human	Tchem	2.0	Q07812	metadata
BCKDK	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O14874	metadata
BCL2	False	True	True	False	False	False	False	False	False	target	human	Tclin	1.0	P10415	metadata
BCL2L1	False	True	True	False	False	False	False	False	False	target	human	Tchem	2.0	Q07817	metadata
BCS1L	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9Y276	metadata
BPTF	True	False	False	False	False	False	False	True	False	target	human	Tchem	2.0	Q12830	metadata;role_crispr:sensitization_anti-viral
BRCA1	False	False	True	False	False	False	False	True	False	target	human	Tchem	2.0	P38398	metadata
BRD2	False	False	False	False	False	False	True	True	False	target	human	Tchem	2.0	P25440	metadata
BRD4	False	True	False	False	False	False	True	True	True	target	human	Tchem	2.0	O60885	metadata
BTLA	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q7Z6A9	metadata
BZW2	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q9Y6E2	metadata
C1orf50	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q9BV19	metadata
CABIN1	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q9Y6J0	metadata;role_crispr:sensitization_anti-viral
CACNA2D4	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q7Z3S7	metadata
CANX	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P27824	metadata
CBR1	False	True	False	False	True	False	False	True	True	target	human	Tchem	2.0	P16152	metadata
CCDC86	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9H6F5	metadata
CCNB1	False	False	False	False	False	False	False	True	False	target	human	Tchem	2.0	P14635	metadata
CCND1	False	False	True	False	False	False	False	True	False	target	human	Tchem	2.0	P24385	metadata
CCNH	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P51946	metadata;role_crispr:sensitization_anti-viral
CCT2	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	P78371	metadata
CD300E	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q496F6	metadata
CD300LB	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	A8K4G0	metadata
CD300LF	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8TDQ1	metadata
CD300LG	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q6UXG3	metadata
CD4	False	True	False	False	False	True	False	True	False	target	human	Tchem	2.0	P01730	metadata
CD8A	False	False	False	False	False	True	False	True	True	target	human	Tbio	3.0	P01732	metadata
CDA	False	False	False	True	False	False	False	True	False	target	human	Tchem	2.0	P32320	metadata
CDC5L	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q99459	metadata
CDK1	False	True	True	False	False	False	False	True	False	target	human	Tchem	2.0	P06493	metadata
CDK4	False	True	True	False	True	False	False	True	False	target	human	Tclin	1.0	P11802	metadata
CDK5RAP2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96SN8	metadata
CDK7	True	True	False	False	False	False	False	True	False	target	human	Tchem	2.0	P50613	metadata;role_crispr:sensitization_anti-viral
CDKN1A	True	False	True	False	False	False	False	True	False	target	human	Tbio	3.0	P38936	metadata;role_crispr:resistance_pro_viral
CDKN1B	False	False	True	False	False	False	False	False	False	target	human	Tbio	3.0	P46527	metadata
CEACAM8	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	P31997	metadata
CEBPZ	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	Q03701	metadata
CENPF	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P49454	metadata
CEP112	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q8N8E3	metadata
CEP135	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q66GS9	metadata
CEP250	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9BV73	metadata
CEP350	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q5VT06	metadata
CEP43	False	False	False	False	False	False	True	False	False	target	human	Tbio	3.0	O95684	metadata
CEP68	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q76N32	metadata
CHMP2A	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O43633	metadata
CHPF	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q8IZ52	metadata
CHPF2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q9P2E5	metadata
CHRM2	False	True	False	True	False	False	False	True	False	target	human	Tclin	1.0	P08172	metadata
CHUK	False	True	True	False	False	False	False	False	False	target	human	Tchem	2.0	O15111	metadata
CISD3	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P0C7P0	metadata
CIT	False	True	False	False	False	False	True	True	False	target	human	Tchem	2.0	O14578	metadata
CLCC1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q96S66	metadata
CLIP4	False	False	False	False	False	False	True	True	False	target	human	Tdark	4.0	Q8N3C7	metadata
CLTRN	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q9HBJ8	metadata
CNGA2	False	True	False	False	False	False	False	True	True	target	human	Tchem	2.0	Q16280	metadata
CNGA4	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q8IV77	metadata
CNTRL	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q7Z7A1	metadata
COL6A1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	P12109	metadata
COLGALT1	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q8NBJ5	metadata
COMT	False	True	True	False	False	False	True	True	False	target	human	Tclin	1.0	P21964	metadata
COPS5	False	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q92905	metadata
COQ8B	False	True	False	False	False	False	True	True	False	target	human	Tchem	2.0	Q96D53	metadata
CPK1	False	False	False	True	False	False	False	False	False	target	human	unk	6.0		metadata
CPSF6	False	False	False	False	False	False	False	True	True	target	human	Tbio	3.0	Q16630	metadata
CREB1	False	False	True	False	False	False	False	False	False	target	human	Tbio	3.0	P16220	metadata
CREBBP	True	False	True	False	False	False	False	False	False	target	human	Tchem	2.0	Q92793	metadata;role_crispr:resistance_pro_viral
CRTC3	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q6UUV7	metadata
CSDE1	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	O75534	metadata
CSK	False	True	True	False	False	False	False	False	False	target	human	Tchem	2.0	P41240	metadata
CSNK2A2	False	True	True	False	False	False	True	True	True	target	human	Tchem	2.0	P19784	metadata
CSNK2B	False	False	True	False	False	False	True	True	True	target	human	Tbio	3.0	P67870	metadata
CSRP1	False	False	False	False	True	False	False	True	False	target	human	Tbio	3.0	P21291	metadata
CST6	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	Q15828	metadata;role_crispr:resistance_pro_viral
CSTA	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P01040	metadata;role_crispr:resistance_pro_viral
CSTB	True	False	False	False	False	False	False	True	False	target	human	Tbio	3.0	P04080	metadata;role_crispr:resistance_pro_viral
CSTV	True	False	False	False	False	False	False	False	False	target	human	unk	6.0		metadata;role_crispr:resistance_pro_viral
CTNNB1	False	False	True	False	False	False	False	True	False	target	human	Tchem	2.0	P35222	metadata
CTSL	True	True	False	False	False	False	False	True	False	target	human	Tchem	2.0	P07711	metadata;role_crispr:resistance_pro_viral
CTSZ	False	False	False	False	True	False	False	True	False	target	human	Tchem	2.0	Q9UBR2	metadata
CTTN	False	False	True	False	False	False	False	True	True	target	human	Tbio	3.0	Q14247	metadata
CUL2	False	False	False	False	False	False	True	True	False	target	human	Tbio	3.0	Q13617	metadata
CWC27	False	False	False	False	False	False	True	True	True	target	human	Tbio	3.0	Q6UX04	metadata
